dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,execution_time
GunPointAgeSpan,2,135,316,0.9841772317886353,0.9841770567322617,0.9936708860759493,0.9936708860759493,0.9620253164556962,0.9620207512763481,0.9113924503326416,0.9112644415917843,0.9778481012658228,0.9778434422387773,0.8544303774833679,0.8539565164972069,0.9493670886075949,0.9492694829952721,0.8860759735107422,0.8850398156756538,0.9841772151898734,0.9841776906007964,353.17124462127686
GunPointMaleVersusFemale,2,135,316,1.0,1.0,0.9968354430379747,0.9968359194795887,0.9936708860759493,0.9936708860759493,1.0,1.0,0.9936708860759493,0.9936708860759493,1.0,1.0,0.990506329113924,0.9905077584387657,1.0,1.0,0.9936708860759493,0.9936726642737205,298.1422598361969
GunPointOldVersusYoung,2,136,315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,145.31751227378845
Ham,2,109,105,0.761904776096344,0.7546958228202971,0.6857142857142857,0.6819745014710691,0.6857142857142857,0.679643951554064,0.761904776096344,0.7615587246798075,0.6857142857142857,0.6812448056145535,0.7428571581840515,0.7405034324942792,0.6761904761904762,0.6735771931663348,0.7714285850524902,0.7704081632653061,0.7047619047619048,0.6964275765092925,235.80571866035461
HandOutlines,2,1000,370,0.9216216206550598,0.9125787239589698,0.9108108108108108,0.9095137275471155,0.9162162162162162,0.9161463270619179,0.9216216206550598,0.9129136197255114,0.8972972972972973,0.8967541580041579,0.9297297596931458,0.9223592458677685,0.9162162162162162,0.9158509744356695,0.9189189672470093,0.9116692131398014,0.9,0.8995640662619282,6766.681873321533
Haptics,5,155,308,0.4285714328289032,0.4017516861048037,0.4577922077922078,0.4465353274535765,0.45454545454545453,0.40670085676942175,0.43831169605255127,0.39949850069028836,0.487012987012987,0.4740542373362289,0.4675324559211731,0.4670451193737324,0.461038961038961,0.4434778748596997,0.3571428656578064,0.29942784310472426,0.4805194805194805,0.4799201256744642,506.81865429878235
Herring,2,64,64,0.75,0.722943722943723,0.59375,0.4424019607843137,0.59375,0.4424019607843137,0.6875,0.6871945259042034,0.609375,0.49984761407175204,0.6875,0.6862745098039216,0.609375,0.4768747708104144,0.703125,0.6744310575635877,0.625,0.5092857142857142,150.9531180858612
HouseTwenty,2,40,119,0.8067227602005005,0.7998830152811289,0.957983193277311,0.9577804361490154,0.9663865546218487,0.9662836563196706,0.7815126180648804,0.7757971014492754,0.9747899159663865,0.9747532760651677,0.7899159789085388,0.7824815383490531,0.9747899159663865,0.9746682616894092,0.8067227602005005,0.8031643293779216,0.9663865546218487,0.9662836563196706,191.515389919281
InlineSkate,7,100,550,0.26181817054748535,0.226200540198309,0.4,0.3947559969458316,0.37454545454545457,0.376590218325071,0.23999999463558197,0.20346036525229286,0.39454545454545453,0.3796155726811803,0.23818181455135345,0.1947894877076979,0.3781818181818182,0.3845824312455953,0.2454545497894287,0.2035086552347268,0.3690909090909091,0.3471465641705028,1085.9669704437256
All augmented samples were dropped. No data to return.
InsectEPGSmallTrain,3,17,249,0.9999999403953552,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,52.530519008636475
InsectWingbeatSound,11,220,1980,0.513131320476532,0.5081701403393061,0.5287878787878788,0.5212426787621466,0.5181818181818182,0.5114916242133257,0.5191919207572937,0.513133630896374,0.5313131313131313,0.52622544348972,0.5651515126228333,0.5618276271160463,0.5328282828282829,0.5227175560965832,0.5151515603065491,0.5105584439554455,0.5343434343434343,0.5239378233160663,520.3476836681366
ItalyPowerDemand,2,67,1029,0.9737609028816223,0.9737584546173238,0.9650145772594753,0.9650127928958537,0.9620991253644315,0.9620777064713174,0.9727891087532043,0.9727847718651292,0.9650145772594753,0.9650102812122044,0.9620991349220276,0.962089959710368,0.9640427599611273,0.9640428278794944,0.9630709290504456,0.9630709077858789,0.9620991253644315,0.962097693490689,234.64155960083008
LargeKitchenAppliances,3,375,375,0.41600000858306885,0.38333041271572005,0.848,0.8471966141432281,0.8453333333333334,0.844700265397138,0.43199998140335083,0.4289570270102954,0.856,0.8543307435634447,0.4346666634082794,0.4330750247265674,0.8693333333333333,0.8692387482242985,0.4560000002384186,0.45153147316756304,0.848,0.8466292619235317,713.6457796096802
Lightning2,2,60,61,0.7868852019309998,0.7809997238331953,0.7868852459016393,0.785486625694267,0.8032786885245902,0.8013330931363719,0.7540982961654663,0.7441990494828068,0.7868852459016393,0.7860825537958075,0.7868852019309998,0.7711399711399711,0.7868852459016393,0.781880594141991,0.7868852019309998,0.7783058428850993,0.7377049180327869,0.7351107908484957,155.66672277450562
Lightning7,7,70,73,0.4931506812572479,0.47380278502401263,0.6712328767123288,0.6439164536496909,0.7397260273972602,0.7320340413936515,0.6712328791618347,0.631578947368421,0.684931506849315,0.6797187704690144,0.6164383292198181,0.6252390466676181,0.7534246575342466,0.7539270550806239,0.5616438388824463,0.4496428609954894,0.6575342465753424,0.6513637141830615,223.62085890769958
Mallat,8,55,2345,0.820469081401825,0.8233076489128683,0.9415778251599147,0.9411834979469184,0.9641791044776119,0.9642711675490037,0.7176972031593323,0.7035500934373905,0.9688699360341151,0.9689610990157362,0.6277185082435608,0.551890310513556,0.9671641791044776,0.9672219608066068,0.5031982660293579,0.41213994498742945,0.920682302771855,0.9192984377050154,83361.31093263626
Meat,3,60,60,1.0,1.0,0.9333333333333333,0.9331094582012576,0.9,0.8995215311004784,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.9166666666666666,0.9161317928968765,190.20233154296875
"Input X contains NaN.
GaussianMixture does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values"
MiddlePhalanxOutlineAgeGroup,3,400,154,0.6103895902633667,0.37734802800304984,0.6298701298701299,0.5307558342041101,0.6428571428571429,0.5881053286519173,0.6168830990791321,0.3792750197005516,0.6298701298701299,0.5839638973633217,0.6233766078948975,0.39788573999100313,0.6428571428571429,0.5645935557439983,0.6363636255264282,0.4752152152152152,0.6493506493506493,0.5730798665558905,174.81154584884644
MiddlePhalanxOutlineCorrect,2,600,291,0.8350515365600586,0.830238210986874,0.7800687285223368,0.7762920318444197,0.8144329896907216,0.8129914636677017,0.8556700944900513,0.8503233075340453,0.7972508591065293,0.7947924475453432,0.8350515365600586,0.8310104529616724,0.8041237113402062,0.8024419996709201,0.8419244289398193,0.834659090909091,0.7972508591065293,0.7969274209942814,311.4118187427521
MiddlePhalanxTW,6,399,154,0.5649350881576538,0.29507086516585374,0.6168831168831169,0.5640493556547654,0.6038961038961039,0.5404156713617602,0.5649350881576538,0.3063158775305337,0.6233766233766234,0.567705447363477,0.5974025726318359,0.45698100918689155,0.5974025974025974,0.5409100766940715,0.5909090638160706,0.3226498323949598,0.6298701298701299,0.5762679781443618,156.63394045829773
[Errno 2] No such file or directory: 'data//UCRArchive_2018/Missing_value_and_variable_length_datasets_adjusted/Missing_value_and_variable_length_datasets_adjusted_TRAIN.tsv'
