dataset;baseline;FAA;LA;Diffusion;TTSGAN;ASCENSION;VaDE;FCNemb;ImagenTime;Diffusion-TS;KoVAE
Crop;0.7600595238095238;0.6775;0.7568452380952381;0.83;0.7583928571428571;0.7595833333333334;0.7559523809523809;0.759702380952381;0.7551190476190476;0.7983938800208561;0.2800595238095238
DistalPhalanxOutlineAgeGroup;0.7553956834532374;0.7482014388489209;0.7410071942446043;0.6296296296296297;0.7697841726618705;0.8129496402877698;0.8057553956834532;0.8057553956834532;0.762589928057554;0.8068480109515405;0.5611510791366906
DistalPhalanxOutlineCorrect;0.782608695652174;0.7608695652173914;0.7934782608695652;0.5568181818181818;0.7862318840579711;0.7934782608695652;0.7934782608695652;0.7971014492753623;0.7971014492753623;0.8418527940733754;0.6557971014492754
DistalPhalanxTW;0.7122302158273381;0.6834532374100719;0.7194244604316546;0.9333333333333332;0.7194244604316546;0.7266187050359713;0.7482014388489209;0.7338129496402878;0.697841726618705;0.7543603808993733;0.39568345323741
ECG200;0.89;0.8;0.87;0.8551219512195122;0.91;0.89;0.84;0.89;0.88;0.8422389892613541;0.79
ECG5000;0.9402222222222222;0.9204444444444444;0.9411111111111112;0.9246231155778896;0.94;0.9408888888888888;0.9402222222222222;0.9411111111111112;0.9397777777777778;0.9867737546304892;0.8202222222222222
ECGFiveDays;0.8571428571428571;0.6480836236933798;0.7770034843205574;0.6476190476190476;0.8199767711962834;0.7816492450638792;0.8606271777003485;0.8606271777003485;0.7584204413472706;0.662738836108978;0.5435540069686411
EOGHorizontalSignal;0.5552486187845304;0.3176795580110497;0.4889502762430939;0.3757142857142857;0.1712707182320442;0.5414364640883977;0.4392265193370165;0.5276243093922652;0.4834254143646408;0.3945116417751465;0.1657458563535911
EOGVerticalSignal;0.4116022099447514;0.2265193370165746;0.4392265193370165;0.7691233947515355;0.1519337016574585;0.4005524861878453;0.3011049723756906;0.4392265193370165;0.3867403314917127;0.2987778121798394;0.143646408839779
Earthquakes;0.7769784172661871;0.7482014388489209;0.7697841726618705;0.7050359712230215;0.7697841726618705;0.7769784172661871;0.7769784172661871;0.7769784172661871;0.7769784172661871;0.7987245143876172;0.7697841726618705
ElectricDevices;0.7184541563999481;0.6210608222020491;0.7101543249902736;0.7373417721518988;0.6660614706263779;0.7196213201919336;0.7301257943198028;0.7215665931785761;0.7023732330437038;0.7462098915001657;0.3817922448450266
EthanolLevel;0.456;0.248;0.46;0.5032467532467533;0.48;0.8140000104904175;0.45;0.468;0.41;0.3716324482145682;0.248
FaceAll;0.9437869822485208;0.8609467455621301;0.908284023668639;0.972972972972973;0.8301775147928994;0.9224852071005916;0.8372781065088757;0.9088757396449704;0.8568047337278106;0.8009465029751655;0.0502958579881656
FaceFour;0.8295454545454546;0.4545454545454545;0.8295454545454546;0.8698083067092651;0.7159090909090909;0.8068181818181818;0.7613636363636364;0.8295454545454546;0.8295454545454546;0.4674781264690717;0.4659090909090909
FacesUCR;0.8639024390243902;0.5478048780487805;0.848780487804878;0.8007246376811594;0.8565853658536585;0.8726829268292683;0.8121951219512196;0.8551219512195122;0.8634146341463415;0.5355620747807022;0.1048780487804878
Fish;0.7485714285714286;0.4971428571428571;0.6571428571428571;0.6887213847012842;0.7142857142857143;0.7028571428571428;0.7485714285714286;0.7485714285714286;0.6742857142857143;0.462866526770853;0.1828571428571428
FordA;0.9030303030303032;0.8946969696969697;0.8962121212121212;0.7971014492753623;0.9022727272727272;0.9007575757575758;0.8992424242424243;0.9;0.9;0.95185604022955;0.7848484848484848
FordB;0.7716049382716049;0.6777777777777778;0.774074074074074;0.6675041876046901;0.7728395061728395;0.7716049382716049;0.7691358024691358;0.774074074074074;0.7654320987654321;0.8166070743714398;0.6555555555555556
FreezerRegularTrain;0.9880701754385964;0.7680701754385965;0.990877192982456;0.275;0.9863157894736844;0.9873684210526316;0.9901754385964912;0.992280701754386;0.9901754385964912;0.8447232950736385;0.7810526315789473
FreezerSmallTrain;0.8157894736842105;0.7603508771929824;0.8414035087719298;0.8195121951219512;0.7592982456140351;0.8333333730697632;0.8880701754385965;0.8414035087719298;0.771578947368421;0.810961251509132;0.6217543859649123
GunPoint;0.98;0.9266666666666666;0.98;0.3214285714285714;0.98;0.9866666666666668;0.96;0.9866666666666668;0.9666666666666668;0.906084051103963;0.5066666666666667
GunPointAgeSpan;0.971518987341772;0.7753164556962026;0.9746835443037974;0.9104;0.509493670886076;0.9588607594936708;0.9556962025316456;0.9746835443037974;0.9620253164556962;0.8935896083251934;0.5063291139240507
GunPointMaleVersusFemale;0.9873417721518988;0.939873417721519;0.9936708860759492;1.0;0.5253164556962026;0.990506329113924;0.990506329113924;0.9936708860759492;0.9841772151898734;0.9588506671412867;0.5253164556962026
GunPointOldVersusYoung;1.0;1.0;1.0;0.85;0.9968253968253968;1.0;1.0;1.0;1.0;1.0;0.5238095238095238
Ham;0.6857142857142857;0.7333333333333333;0.6666666666666666;0.7953964194373402;0.6857142857142857;0.6952380952380952;0.6761904761904762;0.7047619047619048;0.7142857142857143;0.6963121767678784;0.4857142857142857
HandOutlines;0.9108108108108108;0.6405405405405405;0.8864864864864865;0.7771428571428571;0.7810075769543;0.911024877896233;0.9108108108108108;0.8972972972972973;0.8972972972972973;0.8473064900186331;0.4135135135135135
Haptics;0.4707792207792208;0.3019480519480519;0.4512987012987013;0.7;0.4448051948051948;0.4577922077922078;0.4902597402597403;0.5227272727272727;0.461038961038961;0.3800434757152356;0.2175324675324675
Herring;0.625;0.59375;0.625;0.9722222222222222;0.609375;0.609375;0.625;0.65625;0.609375;0.6426865966471172;0.59375
HouseTwenty;0.9411764705882352;0.907563025210084;0.9663865546218487;0.4866666666666667;0.5798319327731093;0.957983193277311;0.9327731092436976;0.9663865546218487;0.9663865546218487;0.9170289684419368;0.5798319327731093
InlineSkate;0.3581818181818181;0.1709090909090909;0.3818181818181818;0.7857142857142857;0.2472727272727272;0.3981818181818182;0.3309090909090909;0.3818181818181818;0.2509090909090909;0.2414741015911343;0.1636363636363636
InsectEPGRegularTrain;1.0;1.0;1.0;0.8044270833333333;1.0;1.0;1.0;1.0;1.0;1.0;1.0
InsectEPGSmallTrain;1.0;1.0;1.0;0.9737609329446064;1.0;1.0;1.0;1.0;1.0;1.0;1.0
InsectWingbeatSound;0.509090909090909;0.3111111111111111;0.4888888888888889;0.7086956521739131;0.4853535353535353;0.4969696969696969;0.4606060606060606;0.4969696969696969;0.4590909090909091;0.4697845612381922;0.2272727272727272
ItalyPowerDemand;0.9659863945578232;0.9552964042759962;0.9611273080660836;0.692;0.9504373177842566;0.966958211856171;0.9689018464528668;0.9718172983479106;0.9689018464528668;1.0;0.9251700680272108
LargeKitchenAppliances;0.856;0.7066666666666667;0.824;0.6666666666666666;0.8506666666666667;0.8613333333333333;0.8426666666666667;0.8293333333333334;0.8133333333333334;0.8637902945008947;0.616
Lightning2;0.7704918032786885;0.6557377049180327;0.7868852459016393;0.6794871794871795;0.7213114754098361;0.7704918032786885;0.7540983606557377;0.8360655737704918;0.7540983606557377;0.6892305236730091;0.4590163934426229
Lightning7;0.726027397260274;0.4794520547945205;0.7534246575342466;0.6615384615384615;0.7808219178082192;0.726027397260274;0.6438356164383562;0.7808219178082192;0.7671232876712328;0.4768466693424601;0.2876712328767123
Mallat;0.8251599147121536;0.2575692963752665;0.9194029850746268;0.7594642857142857;0.8281449893390191;0.9321961620469084;0.5437100213219617;0.9356076759061832;0.913006396588486;0.4307636221239131;0.2498933901918976
Meat;0.9;0.3333333333333333;0.9;0.934640522875817;0.9;0.9166666666666666;0.9166666666666666;0.9166666666666666;0.8666666666666667;0.7185013711707944;0.3333333333333333
MedicalImages;0.756578947368421;0.5355263157894737;0.7513157894736842;0.6014492753623188;0.7473684210526316;0.7447368421052631;0.7552631578947369;0.7592105263157894;0.7394736842105263;0.6424221193015734;0.5736842105263158
MiddlePhalanxOutlineAgeGroup;0.6428571428571429;0.6428571428571429;0.6623376623376623;0.7769784172661871;0.6493506493506493;0.6493506493506493;0.6493506493506493;0.6623376623376623;0.6558441558441559;0.6855836682189361;0.2987012987012987
MiddlePhalanxOutlineCorrect;0.8075601374570447;0.5738831615120275;0.7903780068728522;0.91;0.8075601374570447;0.7972508591065293;0.8075601374570447;0.8041237113402062;0.8109965635738832;0.8344306685239645;0.7079037800687286
MiddlePhalanxTW;0.6233766233766234;0.5584415584415584;0.6233766233766234;0.9397777777777778;0.6038961038961039;0.6168831168831169;0.6103896103896104;0.6298701298701299;0.6233766233766234;0.660892584381954;0.3896103896103896
MixedShapesRegularTrain;0.9397938144329896;0.8301030927835051;0.9311340206185568;0.7862950058072009;0.8647422680412371;0.9381443298969072;0.9323711340206186;0.9311340206185568;0.91340206185567;0.944917082608786;0.4956701030927835
MixedShapesSmallTrain;0.8725773195876289;0.8131958762886597;0.8630927835051546;0.5165745856353591;0.7002061855670103;0.8746391752577319;0.88;0.8630927835051546;0.828041237113402;0.4888963539541461;0.1888659793814433
MoteStrain;0.884185303514377;0.865814696485623;0.902555910543131;0.3701657458563536;0.8921725239616614;0.8865814696485623;0.8905750798722045;0.902555910543131;0.8538338658146964;0.8863911315085505;0.6078274760383386
NonInvasiveFetalECGThorax1;0.9063613231552164;0.2697201017811705;0.8966921119592876;0.49;0.8870229007633588;0.889058524173028;0.5623409669211196;0.8997455470737914;0.87735368956743;0.5776934384083996;0.0254452926208651
NonInvasiveFetalECGThorax2;0.9165394402035624;0.4768447837150127;0.9180661577608142;0.927810650887574;0.9206106870229008;0.9185750636132316;0.7628498727735369;0.9292620865139948;0.90941475826972;0.6375110433836134;0.0356234096692111
OSULeaf;0.7851239669421488;0.4586776859504132;0.7892561983471075;0.8977272727272727;0.7024793388429752;0.7892561983471075;0.6900826446280992;0.7933884297520661;0.6983471074380165;0.5485199676554992;0.4008264462809917
OliveOil;0.8666666666666667;0.4;0.7666666666666667;0.6901098901098901;0.8333333333333334;0.8666666666666667;0.8666666666666667;0.8;0.8666666666666667;0.8835182066632319;0.4
PhalangesOutlinesCorrect;0.8135198135198135;0.7249417249417249;0.8193473193473193;0.7716049382716049;0.8321678321678322;0.8275058275058275;0.8135198135198135;0.8263403263403264;0.8146853146853147;0.8478755126839065;0.3869463869463869
Plane;1.0;0.923809523809524;1.0;0.8228070175438597;1.0;1.0;1.0;1.0;1.0;1.0;0.2952380952380952
PowerCons;0.9222222222222224;0.8944444444444445;0.9611111111111112;0.0376344086021505;0.95;0.9444444444444444;0.9388888888888888;0.9611111111111112;0.95;0.9225690105885156;0.5166666666666667
ProximalPhalanxOutlineAgeGroup;0.8829268292682927;0.8634146341463415;0.8682926829268293;0.7;0.8682926829268293;0.8780487804878049;0.8780487804878049;0.8975609756097561;0.8585365853658536;0.9027704140533684;0.7853658536585366
ProximalPhalanxOutlineCorrect;0.8934707903780069;0.7422680412371134;0.9003436426116839;0.6;0.9072164948453608;0.8934707903780069;0.9003436426116839;0.9037800687285223;0.8934707903780069;0.9322906888865892;0.3161512027491409
ProximalPhalanxTW;0.8292682926829268;0.7560975609756098;0.8341463414634146;0.4709302325581395;0.8195121951219512;0.8341463414634146;0.8292682926829268;0.8341463414634146;0.824390243902439;0.8850134952418437;0.3512195121951219
RefrigerationDevices;0.5653333333333334;0.5546666666666666;0.56;0.3384615384615385;0.576;0.5706666666666667;0.5706666666666667;0.5866666666666667;0.5893333333333334;0.6007082549455348;0.4
Rock;0.4;0.32;0.46;0.5316455696202531;0.36;0.5;0.54;0.5;0.46;0.5475805998982782;0.18
ScreenType;0.504;0.4106666666666667;0.4773333333333333;0.9266666666666666;0.5093333333333333;0.528;0.4693333333333333;0.5173333333333333;0.4586666666666666;0.535337671943865;0.3866666666666666
SemgHandGenderCh2;0.7466666666666667;0.7183333333333334;0.725;0.8955696202531646;0.6566666666666666;0.745;0.7483333333333333;0.725;0.7433333333333333;0.673012020728588;0.6883333333333334
SemgHandMovementCh2;0.4111111111111111;0.3977777777777778;0.3977777777777778;1.0;0.26;0.4;0.3511111111111111;0.42;0.3533333333333333;0.3870682201472125;0.1666666666666666
SemgHandSubjectCh2;0.4755555555555555;0.46;0.4511111111111111;0.59375;0.2666666666666666;0.4822222222222222;0.4577777777777778;0.4666666666666667;0.4644444444444444;0.4318479651549206;0.2222222222222222
ShapeletSim;1.0;0.9611111111111112;1.0;0.907563025210084;1.0;0.9944444444444444;1.0;1.0;1.0;1.0;0.7777777777777778
ShapesAll;0.7716666666666666;0.26;0.7383333333333333;0.3345454545454545;0.6633333333333333;0.7583333333333333;0.07;0.755;0.7533333333333333;0.3437795885338997;0.0433333333333333
SmallKitchenAppliances;0.72;0.7973333333333333;0.7573333333333333;1.0;0.712;0.7226666666666667;0.7226666666666667;0.7626666666666667;0.728;0.748093498593092;0.5226666666666666
SmoothSubspace;1.0;0.9866666666666668;1.0;1.0;1.0;1.0;0.9933333333333332;1.0;0.9666666666666668;1.0;0.9866666666666668
SonyAIBORobotSurface1;0.9367720465890182;0.961730449251248;0.9151414309484192;0.4156565656565656;0.9484193011647256;0.9334442595673876;0.9351081530782028;0.9234608985024958;0.9367720465890182;0.7909940543222158;0.5707154742096506
SonyAIBORobotSurface2;0.8772298006295908;0.9611752360965372;0.8467995802728226;0.9611273080660836;0.8646379853095488;0.8856243441762854;0.8751311647429171;0.8730325288562435;0.8625393494228751;0.8878155287482735;0.7460650577124869
StarLightCurves;0.95726080621661;0.8491986401165614;0.9567751335599806;0.808;0.9522826614861584;0.9528897523069452;0.9669742593491988;0.9656386595434676;0.9479116075764934;0.9570592826824816;0.9389116075764934
Strawberry;0.981081081081081;0.8729729729729729;0.9702702702702702;0.7213114754098361;0.9783783783783784;0.9756756756756756;0.9783783783783784;0.972972972972973;0.9702702702702702;1.0;0.8406993686255464
SwedishLeaf;0.9248;0.8576;0.9296;0.5616438356164384;0.9376;0.9312;0.8992;0.9344;0.9136;0.8984903013952326;0.7243243243243244
Symbols;0.7798994974874371;0.893467336683417;0.8884422110552764;0.9377398720682304;0.8130653266331658;0.8160804020100503;0.8160804020100503;0.8884422110552764;0.792964824120603;0.2226629466890712;0.1632
SyntheticControl;0.99;0.9766666666666668;0.99;0.7552631578947369;0.9933333333333332;0.9866666666666668;0.99;0.9966666666666668;0.9766666666666668;1.0;0.3366834170854271
ToeSegmentation1;0.9166666666666666;0.9473684210526316;0.9298245614035088;0.975809758097581;0.9078947368421052;0.912280701754386;0.9298245614035088;0.9429824561403508;0.9210526315789472;0.8693664725192592;0.89
ToeSegmentation2;0.8692307692307693;0.8384615384615385;0.8923076923076924;0.7938144329896907;0.8769230769230769;0.8769230769230769;0.9;0.8923076923076924;0.8769230769230769;0.8744613908948116;0.543859649122807
Trace;1.0;0.75;1.0;0.6103896103896104;1.0;1.0;0.99;1.0;1.0;1.0;0.8538461538461538
TwoLeadECG;0.8533801580333626;0.9956101843722563;0.8577699736611062;0.9183505154639175;0.8770851624231782;0.8165057067603161;0.8568920105355575;0.8867427568042142;0.8323090430201932;0.7043215669059472;0.59
TwoPatterns;0.8735;0.87875;0.8685;0.8556701030927835;0.8805;0.86875;0.86925;0.872;0.8665;0.9233284625697128;0.5004389815627743
UMD;0.7777777777777778;0.8680555555555556;0.7430555555555556;0.9033078880407124;0.7638888888888888;0.7569444444444444;0.6875;0.7569444444444444;0.7638888888888888;0.7444603515188992;0.7495
UWaveGestureLibraryAll;0.9126186487995532;0.541038525963149;0.9050809603573424;0.9353689567430026;0.8595756560580681;0.907035175879397;0.9168062534896706;0.9137353433835846;0.88107202680067;0.7214748584473043;0.5069444444444444
UWaveGestureLibraryX;0.7579564489112228;0.69821328866555;0.768285873813512;0.7666666666666667;0.7339475153545505;0.7610273590173088;0.7772194304857621;0.7696817420435511;0.748464544946957;0.7272914839369584;0.2333891680625349
UWaveGestureLibraryY;0.6504745951982133;0.5220547180346176;0.6527079843662759;0.7892561983471075;0.6501954215522054;0.6596873255164712;0.6744835287548855;0.6529871580122837;0.6390284757118928;0.6166949503137933;0.3877721943048576
UWaveGestureLibraryZ;0.6764377442769403;0.5703517587939698;0.6856504745951982;0.86;0.65857063093244;0.6767169179229481;0.6850921273031826;0.6856504745951982;0.6599664991624791;0.6301411407212948;0.315466219988833
Wafer;0.9965931213497728;0.9823166774821545;0.9939974042829332;0.2259615384615384;0.9957819597663856;0.996268656716418;0.9964308890330954;0.994970798182998;0.9974042829331604;1.0;0.2509771077610274
Wine;0.7592592592592593;0.5;0.6851851851851852;0.3028846153846153;0.7037037037037037;0.7962962962962963;0.7407407407407407;0.6851851851851852;0.8703703880310059;0.5852685788930098;0.9146658014276444
WordSynonyms;0.5517241379310345;0.2821316614420062;0.5470219435736677;0.9333333333333332;0.4749216300940438;0.542319749216301;0.3322884012539185;0.5470219435736677;0.4404388714733542;0.3453355257558472;0.5740740740740741
Worms;0.7402597402597403;0.5974025974025974;0.7662337662337663;0.2942271880819367;0.6883116883116883;0.6753246753246753;0.7012987012987013;0.7662337662337663;0.7142857142857143;0.60702897025174;0.2695924764890282
WormsTwoClass;0.7662337662337663;0.7922077922077922;0.7792207792207793;0.8731707317073171;0.7662337662337663;0.7792207792207793;0.7792207792207793;0.7922077922077922;0.7792207792207793;0.764434208399988;0.6103896103896104
Yoga;0.7866666666666666;0.6116666666666667;0.784;0.9106529209621992;0.754;0.7776666666666666;0.7943333333333333;0.7926666666666666;0.7883333333333333;0.745227026571569;0.7792207792207793
